"DATA","TIPO","MATERIA","ATTIVITA'","POMODORI","IMPREVISTI"
"9/1/2020","NO STUDIO","","","0",""
"9/2/2020","STUDIO","INGLESE","TEORIA","1","0"
"9/2/2020","STUDIO","ARTE","TEORIA","2","0"
"9/3/2020","STUDIO","ARTE","ESERCIZI","1","0"
"9/4/2020","STUDIO","ARTE","ESERCIZI","4","0"
"9/5/2020","NO STUDIO","","","0",""
"9/6/2020","STUDIO","ARTE","ESERCIZI","8","1"
"9/7/2020","STUDIO","ARTE","ESERCIZI","12","2"
"9/8/2020","NO STUDIO","","","0",""
"9/9/2020","NO STUDIO","","","0",""
"9/10/2020","STUDIO","INGLESE","TEORIA","2","0"
"9/11/2020","STUDIO","INGLESE","TEORIA","4","0"
"9/12/2020","STUDIO","INGLESE","ESERCIZI","3","0"
"9/13/2020","STUDIO","ITALIANO","ESERCIZI","1","1"
"9/14/2020","NO STUDIO","","","0",""
"9/15/2020","STUDIO","MATEMATICA","TEORIA","2","0"
"9/16/2020","NO STUDIO","","","0",""
"9/17/2020","STUDIO","SCIENZE","TEORIA","3","0"
"9/18/2020","NO STUDIO","","","0",""
"9/19/2020","STUDIO","FISICA","TEORIA","2","0"
"9/20/2020","STUDIO","FISICA","TEORIA","5","0"
"9/21/2020","STUDIO","SCIENZE","TEORIA","4","0"
"9/22/2020","STUDIO","SCIENZE","ESERCIZI","4","0"
"9/23/2020","STUDIO","SCIENZE","ESERCIZI","4","0"
"9/23/2020","STUDIO","SCIENZE","TEORIA","4","1"
"9/24/2020","STUDIO","FISICA","ESERCIZI","6","1"
"9/25/2020","STUDIO","MATEMATICA","ESERCIZI","10","2"
"9/26/2020","NO STUDIO","","","0",""
"9/27/2020","STUDIO","SCIENZE","ESERCIZI","1","1"
"9/28/2020","STUDIO","ARTE","TEORIA","2","0"
"9/28/2020","STUDIO","LATINO","ESERCIZI","2","1"
"9/28/2020","STUDIO","MATEMATICA","ESERCIZI","3","0"
"9/29/2020","STUDIO","FISICA","ESERCIZI","2","1"
"9/29/2020","STUDIO","LATINO","TEORIA","1","0"
"9/30/2020","STUDIO","SCIENZE","TEORIA","2","0"
"9/30/2020","STUDIO","LATINO","TEORIA","5","1"
"10/1/2020","STUDIO","LATINO","TEORIA","3","0"
"10/2/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"10/2/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"10/2/2020","STUDIO","FISICA","ESERCIZI","1","0"
"10/3/2020","NO STUDIO","","","0",""
"10/4/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"10/4/2020","STUDIO","ARTE","TEORIA","1","0"
"10/4/2020","STUDIO","ITALIANO","TEORIA","2","0"
"10/5/2020","STUDIO","ITALIANO","TEORIA","4","0"
"10/6/2020","STUDIO","ITALIANO","TEORIA","6","0"
"10/6/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"10/7/2020","STUDIO","ITALIANO","TEORIA","4","0"
"10/7/2020","STUDIO","ARTE","TEORIA","3","1"
"10/8/2020","STUDIO","ITALIANO","TEORIA","7","1"
"10/9/2020","STUDIO","SCIENZE","TEORIA","4","0"
"10/9/2020","STUDIO","ITALIANO","TEORIA","1","0"
"10/9/2020","STUDIO","INGLESE","TEORIA","1","0"
"10/9/2020","STUDIO","LATINO","TEORIA","1","0"
